sd,se_sandwich,se_bootstrap,coverage_sandwich,coverage_bootstrap
0.031077568979389396,0.09257687921635807,0.04253476806916297,0.95,0.925
0.03492424685817651,0.26284514581784607,0.042484835465438665,0.925,0.9
0.03848170465930852,0.16830143425613642,0.040820621862076224,0.975,0.925
0.040481010081100666,0.2521658704150468,0.03800722749438137,1.0,1.0
0.03242507325155305,0.17376503259874881,0.0321850546868518,0.975,0.975
0.03507371703453986,0.18276819717139006,0.03149499434512108,1.0,0.975
0.030722811052093107,0.1131383175496012,0.03090527644380927,0.975,0.925
0.027190945917099592,0.2188702303916216,0.031250607664696874,1.0,1.0
0.03591945947805779,0.11799228028394282,0.027868025936186314,0.95,0.9
0.021676942668292905,0.08909500339068473,0.026108305947855116,1.0,0.925
0.03508189172901591,0.17220217380672692,0.04598062746226787,0.95,0.925
